Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
BELGIUM,Belgian Data Protection Authority (APD),9/17/19,Yes,10000,Merchant,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"The Belgian data protection authority has imposed a fine of 10,000 euros on a merchant who wanted to use an electronic identity card (eID) to create a customer card. The DPA's investigation revealed that the merchant required access to personal data located on the eID, including the photo and barcode which is linked to the data subject's identification number. In the meantime, the decision of the data protection authority has been annulled by a court: https://www.gegevensbeschermingsautoriteit.be/sites/privacycommission/files/documents/Arrest_190220.pdf",https://www.sudinfo.be/id141981/article/2019-09-19/un-commercant-recu-une-amende-de-10000-euros-pour-avoir-voulu-creer-une-carte-de
POLAND,Polish National Personal Data Protection Office (UODO),9/10/19,Yes,645000,Morele.net,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The Polish data protection authority imposed a fine of over PLN 2.8 million (approx. €644,780) on Morele.net for insufficient organisational and technical safeguards, which led to unauthorised access to the personal data of 2.2 million people.",https://uodo.gov.pl/decyzje/ZSPR.421.2.2019
BULGARIA,Commission for Personal Data Protection (KZLD),9/3/19,Yes,1022,Telecommunication service provide,"Art. 6 (1) GDPR, Art. 25 (1) GDPR",Insufficient legal basis for data processing,"The pecuniary sanctions of EUR 1, 022 and EUR 5, 113 were imposed on a telecommunications service provider and its commercial representative in Bulgaria for unlawful processing of the personal data of a data subject. The personal data of the data subject was unlawfully processed for the conclusion of service contracts without his knowledge or consent.",https://www.cpdp.bg/index.php?p=element&aid=1219
BULGARIA,Commission for Personal Data Protection (KZLD),9/3/19,Yes,5113,Telecommunication service provide,"Art. 6 (1) GDPR, Art. 25 (1) GDPR",Insufficient legal basis for data processing,"The pecuniary sanctions of EUR 1, 022 and EUR 5, 113 were imposed on a telecommunications service provider and its commercial representative in Bulgaria for unlawful processing of the personal data of a data subject. The personal data of the data subject was unlawfully processed for the conclusion of service contracts without his knowledge or consent.",https://www.cpdp.bg/index.php?p=element&aid=1219
BULGARIA,Commission for Personal Data Protection (KZLD),9/3/19,Yes,11760,Commercial representative of telecommunication service provider,Art. 6 (1) GDPR,Insufficient legal basis for data processing,"The pecuniary sanction of EUR 11, 760 was imposed on the commercial representative of telecommunications service provider for unlawful processing of the personal data of a data subject. The personal data of the data subject was unlawfully processed for the conclusion of a contract for mobile services and leasing contracts.",https://www.cpdp.bg/index.php?p=element&aid=1219
BULGARIA,Commission for Personal Data Protection (KZLD),9/3/19,Yes,1121,Private enforcement agent,"Art. 12 (4) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,"The fine of EUR 1, 121 was imposed on a private enforcement agent for processing of the personal data of data subject through recording by technical means for video surveillance and for refusal to grant access to the collected data. The data subject submitted an application for access to his personal data to the private enforcement agent, who failed to inform him of the reasons for the rejection of his request.",https://www.cpdp.bg/index.php?p=element&aid=1219
BULGARIA,Data Protection Commision of Bulgaria (KZLD),9/3/19,Yes,28100,National Revenue Agency,"Art. 6 (1) GDPR, Art. 58 (2) e) GDPR, Art. 83 (5) a) GDPR",Insufficient legal basis for data processing,"The pecuniary sanction of EUR 28, 121 was imposed on the National Revenue Agency for unlawful processing of the personal data of data subject G.B.I. The personal data of G.B.I. was unlawfully collected and subsequently used to form an enforcement case against her for recovery of the sum of EUR ca. 86, 569. In relation to the enforcement case formed, additional data concerning the bank accounts of G.B.I was collected by the National Revenue Agency from the register of the Bulgarian National Bank. The additional collected data was also unlawfully processed by the National Revenue Agency in sending distraint orders to the banks with which G.B.I. had bank accounts.",https://www.cpdp.bg/?p=element_view&aid=2226
BULGARIA,Data Protection Commision of Bulgaria (KZLD),8/28/19,Yes,511000,DSK Bank,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"Leakage of personal data due to inadequate technical and organisational measures to ensure the protection of information security. Third parties had access to over 23000 credit records relating to over 33000 bank customers including personal data such as names, citizenships, identification numbers, adresses, copies of identity cards and biometric data.",https://www.cpdp.bg/index.php?p=news_view&aid=1514
BULGARIA,Data Protection Commision of Bulgaria (KZLD),8/28/19,Yes,2600000,National Revenue Agency,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,Leakage of personal data in a hacking attack due to inadequate technical and organisational measures to ensure the protection of information security. It was found that personal data concerning about 6 million persons was illegally accessible.,https://www.cpdp.bg/index.php?p=news_view&aid=1519
LATVIA,Data State Inspectorate (DSI),8/26/19,Yes,7000,Online Services,Art. 17 GDPR,Insufficient fulfilment of data subjects rights,"A merchant who provides services in an online store has infringed the 'right to be forgotten' pursuant to Art. 17 GDPR when he was repeatedly requested by a data subject to delete all his personal data, in particular his/her mobile phone number, which the merchant had received as part of an order. Nevertheless, the merchant repeatedly sent advertising messages by SMS to the data subjects mobile phone number.",https://www.dvi.gov.lv/lv/zinas/datu-valsts-inspekcija-piemero-7000-eiro-lielu-naudas-sodu-internetveikalam-par-personas-datu-apstrades-parkapumiem/
SWEDEN,Data Protection Authority of Sweden,8/20/19,Yes,18630,School in Skellefteå,"Art. 5 (1) c) GDPR, Art. 9 GDPR, Art. 35 GDPR, Art. 36 GDPR",Insufficient legal basis for data processing,"A school in Skellefteå made a trial to use facial recognition technology. The fine was imposed against the school which had used facial recognition technology to monitor the attendance of students. Even though, in general, data processing for the purpose of monitoring attendance is possible doing so with facial recognition is disproportioned to the goal to monitor attendance.  The supervisory authority is of the opinion that biometric data of students was processed which is why Art. 9 GDPR is applicable. Additionally, the authority argued that consent can not be applied since students and their guardians cannot freely decide if they/their children want to be monitored for attendance purposes. When examining if the school board can rely on any of the exemptions listed in Art. 9 (2), the supervisory authority found that this was not the case. The supervisory authority also found that there was a case of a processing activity with high risks since new technology was used to process sensitive personal data concerning children who are in a dependency position to the high school board and due to camera surveillance being used in the students everyday environment. In the view of the authority, the school board was not able to demonstrate compliance with Art. 35 GDPR and that the school board was required to consult the authority in accordance with Art. 36 (1) GDPR.",https://www.datainspektionen.se/globalassets/dokument/beslut/facial-recognition-used-to-monitor-the-attendance-of-students.pdf
SPAIN,Spanish Data Protection Authority (aepd),8/16/19,Yes,60000,AVON COSMETICS,Art. 6 GDPR,Insufficient legal basis for data processing,"A consumer claimed that AVON COSMETICS had unlawfully processed his data without adequately verifying his identity, which led to his data being erroneously entered in a register of claims, preventing him from working with his bank. As a result, a third party fraudulently used the consumers personal data.",https://www.aepd.es/resoluciones/PS-00159-2019_ORI.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),8/8/19,Yes,1715,Government Office Managing the Real Estate Register,"Art. 5 GDPR, Art. 14 GDPR",Non-compliance with general data processing principles,"The owners of a real estate complained that the government office posted its decision on the change in the person of the lessee (which concluded a lease agreement with real estate owners) to other owners of 40 real estates contracted by the same lessee. The decision contained personal data of all the owners, who had a lease agreement with the same lessee.",https://www.naih.hu/files/NAIH-2019-1590-hatarozat.pdf
GERMANY,Data Protection Authority of Nordrhein-Westfalen,8/5/19,Yes,200,Private person (YouTube-Channel),"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,The private person used a dashcam to make recordings of public road traffic and then published them on YouTube as a compilation.,https://www.youtube.com/watch?v=wFBrgJIkDwI
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),8/2/19,Yes,4290,Public area maintenance company,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,"An ex-employee complained that his employer unlawfully monitored his work by its CCTV. The employer argued that CCTV monitoring was necessary to assess, whether the employee fulfilled his employment related duties (i.e. monitoring certain public areas and signalling any unusual event to his colleagues) and that the monitoring also served the protection of its surveillance system from unlawful access or usage. NAIH found that monitoring of the employee by CCTV is not an appropriate way of assessing his work performance and the employer relied on an inappropriate legal basis (public interest, official authority) regarding the CCTV operations. The employer could have protected its public area surveillance system by other methods (e.g. by installing firewalls or other security upgrades to its systems). The employer also placed only a brief notice sheet at the entrance of the workstation of the employee regarding the CCTV monitoring, which NAIH deemed insufficient.",https://www.naih.hu/files/NAIH_2019_2466_hatarozat.pdf
